timestamp,kind,calls,totalExecTime
2023-07-22 16:58:59,4,3960,8357.456075999997
2023-07-22 16:58:59,2,3971,47753.9359519999
2023-07-22 16:58:59,1,2717,1251.8045679999996
2023-07-22 16:59:09,4,3960,8357.456075999997
2023-07-22 16:59:09,2,3971,47753.9359519999
2023-07-22 16:59:09,1,2723,1253.4049089999996
2023-07-22 16:59:19,4,3960,8357.456075999997
2023-07-22 16:59:19,2,3971,47753.9359519999
2023-07-22 16:59:19,1,2729,1254.1051539999994
2023-07-22 16:59:29,4,3960,8357.456075999997
2023-07-22 16:59:29,2,3971,47753.9359519999
2023-07-22 16:59:29,1,2735,1254.7625469999998
2023-07-22 16:59:39,4,3960,8357.456075999997
2023-07-22 16:59:39,2,3971,47753.9359519999
2023-07-22 16:59:39,1,2741,1255.5038399999996
2023-07-22 16:59:49,4,3960,8357.456075999997
2023-07-22 16:59:49,2,3971,47753.9359519999
2023-07-22 16:59:49,1,2747,1256.3424479999996
2023-07-22 16:59:59,4,3960,8357.456075999997
2023-07-22 16:59:59,2,3971,47753.9359519999
2023-07-22 16:59:59,1,2753,1257.2850819999996
2023-07-22 17:00:09,4,3960,8357.456075999997
2023-07-22 17:00:09,2,3971,47753.9359519999
2023-07-22 17:00:09,1,2759,1258.4158029999996
2023-07-22 17:00:19,4,3960,8357.456075999997
2023-07-22 17:00:19,2,3971,47753.9359519999
2023-07-22 17:00:19,1,2769,1261.2638289999995
2023-07-22 17:00:29,4,3960,8357.456075999997
2023-07-22 17:00:29,2,3971,47753.9359519999
2023-07-22 17:00:29,1,2775,1283.2699709999997
2023-07-22 17:00:39,4,3960,8357.456075999997
2023-07-22 17:00:39,2,3971,47753.9359519999
2023-07-22 17:00:39,1,2781,1284.3185519999997
2023-07-22 17:00:49,4,3960,8357.456075999997
2023-07-22 17:00:49,2,3971,47753.9359519999
2023-07-22 17:00:49,1,2787,1285.0282169999996
2023-07-22 17:00:59,4,3960,8357.456075999997
2023-07-22 17:00:59,2,3971,47753.9359519999
2023-07-22 17:00:59,1,2793,1285.7049289999995
2023-07-22 17:01:09,4,3960,8357.456075999997
2023-07-22 17:01:09,2,3971,47753.9359519999
2023-07-22 17:01:09,1,2799,1286.2887449999996
2023-07-22 17:01:19,4,3960,8357.456075999997
2023-07-22 17:01:19,2,3971,47753.9359519999
2023-07-22 17:01:19,1,2805,1286.9661009999995
2023-07-22 17:01:29,4,3960,8357.456075999997
2023-07-22 17:01:29,2,3971,47753.9359519999
2023-07-22 17:01:29,1,2811,1287.6835229999997
2023-07-22 17:01:39,4,3960,8357.456075999997
2023-07-22 17:01:39,2,3971,47753.9359519999
2023-07-22 17:01:39,1,2817,1288.5240229999995
2023-07-22 17:01:49,4,3990,8436.059400999997
2023-07-22 17:01:49,2,4001,48248.172702999895
2023-07-22 17:01:49,1,2827,1290.5471099999997
2023-07-22 17:01:59,4,3990,8436.059400999997
2023-07-22 17:01:59,2,4001,48248.172702999895
2023-07-22 17:01:59,1,2833,1291.0414159999996
2023-07-22 17:02:09,4,3990,8436.059400999997
2023-07-22 17:02:09,2,4001,48248.172702999895
2023-07-22 17:02:09,1,2839,1291.7957339999998
2023-07-22 17:02:19,4,3990,8436.059400999997
2023-07-22 17:02:19,2,4001,48248.172702999895
2023-07-22 17:02:19,1,2845,1292.3527759999997
2023-07-22 17:02:29,4,3990,8436.059400999997
2023-07-22 17:02:29,2,4002,48333.059289999896
2023-07-22 17:02:29,1,2854,1293.4933729999998
2023-07-22 17:02:39,4,4000,8446.519582999996
2023-07-22 17:02:39,2,4012,48393.4527719999
2023-07-22 17:02:39,1,2864,1294.9388919999997
2023-07-22 17:02:49,4,4100,8561.744604999998
2023-07-22 17:02:49,2,4112,48858.3822239999
2023-07-22 17:02:49,1,2870,1295.4865589999997
2023-07-22 17:02:59,4,4200,8654.419721999999
2023-07-22 17:02:59,2,4212,49274.4004879999
2023-07-22 17:02:59,1,2876,1296.3517239999996
2023-07-22 17:03:09,4,4300,8879.293557999998
2023-07-22 17:03:09,2,4312,50527.8904529999
2023-07-22 17:03:09,1,2882,1297.0787619999996
2023-07-22 17:03:19,4,4400,9009.248957999998
2023-07-22 17:03:19,2,4412,50998.44086499989
2023-07-22 17:03:19,1,2888,1305.0776519999995
2023-07-22 17:03:29,4,4500,9125.327914
2023-07-22 17:03:29,2,4512,51503.81916899989
2023-07-22 17:03:29,1,2894,1305.6854099999996
2023-07-22 17:03:39,4,4600,9246.979874999997
2023-07-22 17:03:39,2,4612,52058.86135999991
2023-07-22 17:03:39,1,2900,1306.5785859999996
2023-07-22 17:03:49,4,4700,9336.977994999996
2023-07-22 17:03:49,2,4712,52428.93159499989
2023-07-22 17:03:49,1,2906,1307.6081479999998
2023-07-22 17:03:59,4,4800,9432.466885999997
2023-07-22 17:03:59,2,4812,52860.8441569999
2023-07-22 17:03:59,1,2912,1308.3808219999996
2023-07-22 17:04:09,4,4900,9529.059296999998
2023-07-22 17:04:09,2,4912,53270.9191739999
2023-07-22 17:04:09,1,2918,1309.2406589999996
2023-07-22 17:04:19,4,5000,9622.208014999997
2023-07-22 17:04:19,2,5012,53621.51565299989
2023-07-22 17:04:19,1,2924,1309.8943239999996
2023-07-22 17:04:29,4,5100,9713.687128999998
2023-07-22 17:04:29,2,5112,53978.592309999905
2023-07-22 17:04:29,1,2930,1310.4787529999996
2023-07-22 17:04:39,4,5200,9806.005932999999
2023-07-22 17:04:39,2,5212,54329.0561229999
2023-07-22 17:04:39,1,2936,1311.1940319999997
2023-07-22 17:04:49,4,5300,9897.721224999998
2023-07-22 17:04:49,2,5312,54691.83296699989
2023-07-22 17:04:49,1,2942,1311.7862829999997
2023-07-22 17:04:59,4,5400,10001.558682999996
2023-07-22 17:04:59,2,5412,55090.5133139999
2023-07-22 17:04:59,1,2948,1312.4254989999995
2023-07-22 17:05:09,4,5500,10136.221217999999
2023-07-22 17:05:09,2,5512,56072.25189199989
2023-07-22 17:05:09,1,2954,1313.2646479999999
2023-07-22 17:05:19,4,5600,10257.984261999998
2023-07-22 17:05:19,2,5612,56529.126559999895
2023-07-22 17:05:19,1,2960,1316.7591889999997
2023-07-22 17:05:29,4,5700,10368.829645999997
2023-07-22 17:05:29,2,5712,56934.7939169999
2023-07-22 17:05:29,1,2966,1317.3881309999997
2023-07-22 17:05:39,4,5800,10504.636337999998
2023-07-22 17:05:39,2,5812,57572.6604169999
2023-07-22 17:05:39,1,2972,1318.5215109999995
2023-07-22 17:05:49,4,5900,10624.101669999996
2023-07-22 17:05:49,2,5912,58040.6230969999
2023-07-22 17:05:49,1,2978,1319.7234299999996
2023-07-22 17:05:59,4,6000,10789.478019999995
2023-07-22 17:05:59,2,6012,58605.40115399989
2023-07-22 17:05:59,1,2984,1320.8243439999997
2023-07-22 17:06:09,4,6100,10930.966776999998
2023-07-22 17:06:09,2,6112,59208.49794399989
2023-07-22 17:06:09,1,2990,1321.7521009999996
2023-07-22 17:06:19,4,6200,11079.421816
2023-07-22 17:06:19,2,6212,59814.85318599989
2023-07-22 17:06:19,1,2996,1323.1440259999995
2023-07-22 17:06:29,4,6300,11180.658297999998
2023-07-22 17:06:29,2,6312,60198.65667899989
2023-07-22 17:06:29,1,3002,1323.8157829999996
2023-07-22 17:06:39,4,6400,11284.675274
2023-07-22 17:06:39,2,6412,60579.2922959999
2023-07-22 17:06:39,1,3008,1324.7978009999997
2023-07-22 17:06:49,4,6500,11386.026388999999
2023-07-22 17:06:49,2,6512,60943.62951299989
2023-07-22 17:06:49,1,3014,1325.4760819999997
2023-07-22 17:06:59,4,6600,11483.16266
2023-07-22 17:06:59,2,6612,61314.1983889999
2023-07-22 17:06:59,1,3020,1326.0794599999995
2023-07-22 17:07:09,4,6700,11580.682525999997
2023-07-22 17:07:09,2,6712,61703.9044039999
2023-07-22 17:07:09,1,3026,1326.7011929999994
2023-07-22 17:07:19,4,6800,11680.559991999999
2023-07-22 17:07:19,2,6812,62088.3572209999
2023-07-22 17:07:19,1,3032,1327.7560039999996
2023-07-22 17:07:29,4,6900,11772.643934999998
2023-07-22 17:07:29,2,6912,62447.5721109999
2023-07-22 17:07:29,1,3038,1328.3606479999996
2023-07-22 17:07:39,4,7000,11871.887952
2023-07-22 17:07:39,2,7012,62813.056986999894
2023-07-22 17:07:39,1,3044,1328.9413609999997
2023-07-22 17:07:49,4,7100,11985.551832999998
2023-07-22 17:07:49,2,7112,63229.01051699989
2023-07-22 17:07:49,1,3050,1329.5008169999996
